 $IN
 LR      =  0.000000000000000E+000,
 LI      =  0.432751599366305     ,
 FAL     =   1.00010000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   =  -2.00000000000000     ,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =      100000,
 IALMAX  =      100000,
 IW      =         100
 $END
 alpha                    wr                       wi                       funk                    
809
 -0.6099795257409248E-01  -0.4126940828230166E-18  -0.1167848059501123E+01  -0.3673673246702084E+02
 -0.6161130045051052E-01   0.3176518463557330E-17  -0.1164659100931645E+01  -0.3535025484128628E+02
 -0.6223081567520225E-01   0.0000000000000000E+00  -0.1161465353685088E+01  -0.1200000000000000E+03
 -0.6285656026221580E-01  -0.8956370724995128E-16  -0.1158266800946402E+01  -0.3486372246652350E+02
 -0.6348859684916425E-01   0.2953564173193163-307  -0.1155063425818928E+01  -0.7070575702360352E+03
 -0.6412698870349565E-01   0.1563508214904748E-15  -0.1151855211323929E+01  -0.3473078598871010E+02
 -0.6477179972882634E-01  -0.1070166760358337E-17  -0.1148642140400111E+01  -0.3604354095974671E+02
 -0.6542309447133747E-01  -0.1023476342289419E-16  -0.1145424195903148E+01  -0.3603350380733951E+02
 -0.6608093812623640E-01   0.1125565260934677E-16  -0.1142201360605196E+01  -0.3534742493721054E+02
 -0.6674539654428260E-01   0.1610732647372464E-17  -0.1138973617194412E+01  -0.3604340104008042E+02
 -0.6741653623837952E-01   0.2324263159117136-307  -0.1135740948274460E+01  -0.7074006298201151E+03
 -0.6809442439023253E-01   0.1631761423536498E-17  -0.1132503336364025E+01  -0.3494501249370227E+02
 -0.6877912885707388E-01   0.4586438225612193E-17  -0.1129260763896317E+01  -0.3563728783765389E+02
 -0.6947071817845521E-01   0.0000000000000000E+00  -0.1126013213218573E+01  -0.1200000000000000E+03
 -0.7016926158310859E-01   0.2699252003857905E-17  -0.1122760666591552E+01  -0.3535033172293321E+02
 -0.7087482899587612E-01  -0.5829126518793958E-16  -0.1119503106189039E+01  -0.3507795848326821E+02
 -0.7158749104470982E-01  -0.1195014651814623E-15  -0.1116240514097332E+01  -0.3457886804271017E+02
 -0.7230731906774114E-01  -0.7685656821357747E-18  -0.1112972872314729E+01  -0.3673657633269255E+02
 -0.7303438512042235E-01   0.7430642137194974E-18  -0.1109700162751023E+01  -0.3563816505923799E+02
 -0.7376876198273909E-01   0.1641869642444294E-17  -0.1106422367226975E+01  -0.3535044263524487E+02
 -0.7451052316649590E-01  -0.1972817970743531-306  -0.1103139467473798E+01  -0.7051102930315012E+03
 -0.7525974292267468E-01   0.2035905797059240E-17  -0.1099851445132634E+01  -0.3604326494979234E+02
 -0.7601649624886739E-01   0.3037823508747555E-17  -0.1096558281754023E+01  -0.3604279166369501E+02
 -0.7678085889678328E-01  -0.2879294583669351-307  -0.1093259958797375E+01  -0.7071902065236555E+03
 -0.7755290737983181E-01   0.3948383709932945E-18  -0.1089956457630437E+01  -0.3604363891055647E+02
 -0.7833271898078160E-01   0.1185060088913848E-15  -0.1086647759528750E+01  -0.3540313356679260E+02
 -0.7912037175949665E-01  -0.8230581589475637E-16  -0.1083333845675113E+01  -0.3521450159554047E+02
 -0.7991594456075007E-01   0.1870315799576151E-17  -0.1080014697159036E+01  -0.3604333167175363E+02
 -0.8071951702211649E-01   0.1868711282857013E-17  -0.1076690294976192E+01  -0.3604333323834005E+02
 -0.8153116958194406E-01  -0.6356262924220993E-18  -0.1073360620027866E+01  -0.3673665285257903E+02
 -0.8235098348740626E-01  -0.1148469849941997E-17  -0.1070025653120400E+01  -0.3535047616048694E+02
 -0.8317904080263475E-01  -0.1275629093652179E-17  -0.1066685374964632E+01  -0.3604350559693920E+02
 -0.8401542441693417E-01   0.2104236629162619E-16  -0.1063339766175336E+01  -0.3534058208012385E+02
 -0.8486021805307947E-01   0.1758908139283920E-17  -0.1059988807270654E+01  -0.3604337422724925E+02
 -0.8571350627569654E-01  -0.5895097238972720E-16  -0.1056632478671528E+01  -0.3507968340792414E+02
 -0.8657537449972724E-01   0.4666542322558348E-18  -0.1053270760701124E+01  -0.3673672245722017E+02
 -0.8744590899897954E-01   0.1003672259270354E-16  -0.1049903633584258E+01  -0.3534825998041642E+02
 -0.8832519691476358E-01   0.1394606954591418E-17  -0.1046531077446812E+01  -0.3604348011507314E+02
 -0.8921332626461465E-01  -0.5247793273069598E-16  -0.1043153072315152E+01  -0.3619474797482935E+02
 -0.9011038595110368E-01  -0.3297892697157673E-16  -0.1039769598115535E+01  -0.3559712716654937E+02
 -0.9101646577073672E-01   0.0000000000000000E+00  -0.1036380634673525E+01  -0.1200000000000000E+03
 -0.9193165642294340E-01   0.8385692240459017E-16  -0.1032986161713387E+01  -0.3521577595977842E+02
 -0.9285604951915614E-01  -0.6454414941586939E-16  -0.1029586158857494E+01  -0.3526664127924791E+02
 -0.9378973759198060E-01   0.3771072635610590E-18  -0.1026180605625721E+01  -0.3604364096218838E+02
 -0.9473281410445816E-01  -0.5495349443742616E-16  -0.1022769481434834E+01  -0.3508695516415131E+02
 -0.9568537345942169E-01  -0.4340698196618629-307  -0.1019352765597886E+01  -0.7067035402812417E+03
 -0.9664751100894543E-01  -0.4080967909551168E-16  -0.1015930437323591E+01  -0.3557792196353365E+02
