 $IN
 LR      =  0.000000000000000E+000,
 LI      =  5.515689316165199E-003,
 NU      =  5.000000000000000E-002,
 FAL     =   1.01000000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   =  -1.01000000000000     ,
 NMAX    =          50,
 NMIN    =           3,
 AMAX    =  1.000000000000000E+040,
 EPS     =  9.999999999999999E-021,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =       10000,
 IALMAX  =       10000,
 IW      =           1
 $END
 wr =   0.000000000000000E+000
 wi =   5.515689316165199E-003
 alpha                    wr                       wi                       nmax          nmin          funk           
 -0.7689973428715372E+01   0.8940130998496953E-16   0.1602778711668990E+01           200             3  -0.33404298E+02
 -0.7766873163002526E+01  -0.1588323826778253E-17   0.1613907873869013E+01           200             3  -0.33455135E+02
 -0.7844541894632551E+01   0.1373941498139241E-17   0.1625081973848370E+01           200             3  -0.34144670E+02
 -0.7922987313578877E+01   0.1182860438975973E-17   0.1636301252993072E+01           200             3  -0.34913942E+02
 -0.8002217186714665E+01  -0.2194696335671092E-17   0.1647565953991634E+01           200             3  -0.33929885E+02
 -0.8082239358581811E+01  -0.8458875819689689E-16   0.1658876320841171E+01           200             3  -0.33689354E+02
 -0.8163061752167629E+01   0.5710023180926533E-18   0.1670232598853516E+01           200             3  -0.34903801E+02
 -0.8244692369689306E+01  -0.2824120522190659E-17   0.1681635034661368E+01           200             3  -0.33556434E+02
 -0.8327139293386198E+01   0.3762769081448444E-18   0.1693083876224451E+01           200             3  -0.35302185E+02
 -0.8410410686320059E+01   0.2515338393999360E-16   0.1704579372835708E+01           200             3  -0.33240705E+02
 -0.8494514793183260E+01  -0.2110284642688052E-17   0.1716121775127512E+01           200             3  -0.33385576E+02
 -0.8579459941115093E+01  -0.3286284131854267E-18   0.1727711335077898E+01           200             3  -0.35291543E+02
 -0.8665254540526245E+01   0.4730761717829341E-17   0.1739348306016825E+01           200             3  -0.33208280E+02
 -0.8751907085931508E+01   0.6968590414021379E-17   0.1751032942632458E+01           200             3  -0.33673028E+02
 -0.8839426156790823E+01  -0.7980934323119390E-16   0.1762765500977473E+01           200             3  -0.32829728E+02
 -0.8927820418358731E+01  -0.1591076767908155E-15   0.1774546238475385E+01           200             3  -0.32676866E+02
 -0.9017098622542319E+01  -0.1654172758430115E-17   0.1786375413926908E+01           200             3  -0.33104647E+02
 -0.9107269608767742E+01  -0.2151269393257684E-15   0.1798253287516327E+01           200             3  -0.32563731E+02
 -0.9198342304855419E+01  -0.8095356463857915E-16   0.1810180120817903E+01           200             3  -0.33867942E+02
