 $IN
 LR      =  0.000000000000000E+000,
 LI      =  5.515689316165199E-003,
 NU      =  5.000000000000000E-002,
 FAL     =   1.01000000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   =  -1.01000000000000     ,
 NMAX    =          50,
 NMIN    =           3,
 AMAX    =  1.000000000000000E+040,
 EPS     =  9.999999999999999E-021,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =       10000,
 IALMAX  =       10000,
 IW      =           1
 $END
 wr =   0.000000000000000E+000
 wi =   5.515689316165199E-003
 alpha                    wr                       wi                       nmax          nmin          funk           
 -0.4288512532847803E-01   0.2922012366559167-115  -0.1236671567640544E+01           200            23  -0.27631513E+03
 -0.4331830841260407E-01  -0.2811216458570658-115  -0.1233772128369029E+01           200            23  -0.27631398E+03
 -0.4375586708343845E-01   0.2705878682813816-115  -0.1230868340209379E+01           200            23  -0.27631230E+03
 -0.4419784553882672E-01   0.7057617130396272E-13  -0.1227960188443759E+01           200            23  -0.40450027E+02
 -0.4464428842305729E-01   0.8235993103982758E-12  -0.1225047658438286E+01           200            23  -0.37953064E+02
 -0.4509524083137101E-01   0.3764167496579581E-12  -0.1222130735353427E+01           200            23  -0.34660668E+02
 -0.4555074831451617E-01  -0.2239208171237198E-11  -0.1219209404417788E+01           200            23  -0.36872765E+02
 -0.4601085688334967E-01   0.1470131643965206E-12  -0.1216283650665793E+01           200            23  -0.36045806E+02
 -0.4647561301348451E-01   0.2130671273069223-115  -0.1213353459119909E+01           200            23  -0.27631097E+03
 -0.4694506364998435E-01  -0.2050283676332179-115  -0.1210418814742007E+01           200            23  -0.27630919E+03
 -0.4741925621210541E-01  -0.1968726927560476-115  -0.1207479702363343E+01           200            23  -0.27630948E+03
 -0.4789823859808627E-01  -0.9218995833533481E-12  -0.1204536106834097E+01           200            23  -0.37558977E+02
 -0.4838205918998613E-01  -0.2912937701847928E-11  -0.1201588012853625E+01           200            23  -0.36368083E+02
 -0.4887076685857185E-01  -0.1679930132173612-115  -0.1198635405068847E+01           200            22  -0.27631736E+03
 -0.4936441096825439E-01  -0.1616732479364660-115  -0.1195678268078540E+01           200            22  -0.27631606E+03
 -0.4986304138207514E-01   0.1056646783133228E-11  -0.1192716586416420E+01           200            22  -0.37232823E+02
 -0.5036670846674256E-01  -0.2222831535246358E-11  -0.1189750344446806E+01           200            22  -0.36449390E+02
 -0.5087546309771977E-01   0.1435668189082696-115  -0.1186779526609627E+01           200            22  -0.27631558E+03
 -0.5138935666436340E-01  -0.1383209757941437-115  -0.1183804117146743E+01           200            22  -0.27631295E+03
 -0.5190844107511455E-01   0.1326637994691729-115  -0.1180824100286077E+01           200            22  -0.27631479E+03
 -0.5243276876274196E-01   0.1277130742440139-115  -0.1177839460141155E+01           200            22  -0.27631284E+03
 -0.5296239268963835E-01  -0.1229244783979345-115  -0.1174850180802229E+01           200            22  -0.27631103E+03
 -0.5349736635317005E-01   0.1280282341485970E-11  -0.1171856246233715E+01           200            22  -0.36761410E+02
 -0.5403774379108086E-01  -0.1135895752026997-115  -0.1168857640358097E+01           200            22  -0.27630977E+03
 -0.5458357958695036E-01  -0.1633447316493816E-12  -0.1165854346988692E+01           200            22  -0.38740036E+02
 -0.5513492887570744E-01  -0.1047374049089579-115  -0.1162846349890148E+01           200            22  -0.27631045E+03
 -0.5569184734919943E-01  -0.1007325903507134-115  -0.1159833632720729E+01           200            22  -0.27630912E+03
 -0.5625439126181760E-01  -0.8456395709541570E-12  -0.1156816179094954E+01           200            22  -0.36974854E+02
 -0.5682261743617940E-01  -0.9301313072726894-116  -0.1153793972515639E+01           200            22  -0.27630804E+03
 -0.5739658326886808E-01  -0.5216232049847549-115  -0.1150766996428287E+01           200            22  -0.35350566E+02
 -0.5797634673623039E-01  -0.8268240109826894-116  -0.1147735234185299E+01           200            21  -0.27631481E+03
 -0.5856196640023272E-01   0.7953113268159028-116  -0.1144698669066186E+01           200            21  -0.27631399E+03
 -0.5915350141437648E-01   0.7642501069358861-116  -0.1141657284258674E+01           200            21  -0.27631409E+03
 -0.5975101152967321E-01  -0.7361933004808927-116  -0.1138611062885002E+01           200            21  -0.27631169E+03
 -0.6035455710068002E-01   0.7074344920421474-116  -0.1135559987973557E+01           200            21  -0.27631169E+03
 -0.6096419909159598E-01   0.8321413683364063E-12  -0.1132504042479617E+01           200            21  -0.36640571E+02
 -0.6157999908242018E-01  -0.6531747016369173-116  -0.1129443209265462E+01           200            21  -0.27631161E+03
 -0.6220201927517190E-01  -0.6272997886006383-116  -0.1126377471118939E+01           200            21  -0.27631200E+03
 -0.6283032250017363E-01  -0.1295107228488776E-11  -0.1123306810734675E+01           200            21  -0.36078139E+02
 -0.6346497222239761E-01  -0.6175765419981558E-13  -0.1120231210739844E+01           200            21  -0.39081124E+02
 -0.6410603254787638E-01  -0.2509983347213593E-12  -0.1117150653656346E+01           200            21  -0.37638689E+02
 -0.6475356823017817E-01   0.5358644044477246-116  -0.1114065121931717E+01           200            21  -0.27630884E+03
 -0.6540764467694764E-01   0.5134881750484615-116  -0.1110974597931850E+01           200            21  -0.27631117E+03
 -0.6606832795651277E-01   0.4942534609876375-116  -0.1107879063930503E+01           200            21  -0.27630896E+03
 -0.6673568480455835E-01   0.4742917915184596-116  -0.1104778502109007E+01           200            21  -0.27630974E+03
 -0.6740978263086703E-01  -0.4382819177522807-116  -0.1101672894575087E+01           200            20  -0.27631631E+03
 -0.6809068952612832E-01  -0.4217048845283744-116  -0.1098562223341027E+01           200            20  -0.27631527E+03
 -0.6877847426881649E-01  -0.4058369154713485-116  -0.1095446470327744E+01           200            20  -0.27631397E+03
 -0.6947320633213787E-01  -0.3904398661777475-116  -0.1092325617371444E+01           200            20  -0.27631294E+03
 -0.7017495589104836E-01   0.4611547756115373E-16  -0.1089199646226014E+01           200            20  -0.34439795E+02
 -0.7088379382934178E-01  -0.7533450525453090E-13  -0.1086068538545499E+01           200            20  -0.38409818E+02
 -0.7159979174680987E-01   0.3459716916289216-116  -0.1082932275891597E+01           200            20  -0.27631435E+03
 -0.7232302196647462E-01   0.3332415932608607-116  -0.1079790839747889E+01           200            20  -0.27631189E+03
